Key,ATP,First Name,Last Name
Murray A,1,Andy,Murray
Djokovic N,2,Novak,Djokovic
Raonic M,3,Milos,Raonic
Wawrinka S,4,Stan,Wawrinka
Nishikori K,5,Kei,Nishikori
Cilic M,6,Marin,Cilic
Monfils G,7,Gael,Monfils
Thiem D,8,Dominic,Thiem
Nadal R,9,Rafael,Nadal
Berdych T,10,Tomas,Berdych
Goffin D,11,David,Goffin
Tsonga J,12,Jo-Wilfried,Tsonga
Kyrgios N,13,Nick,Kyrgios
Bautista Agut R,14,Roberto,Bautista Agut
Pouille L,15,Lucas,Pouille
Federer R,16,Roger,Federer
Dimitrov G,17,Grigor,Dimitrov
Gasquet R,18,Richard,Gasquet
Isner J,19,John,Isner
Karlovic I,20,Ivo,Karlovic
Ferrer D,21,David,Ferrer
Cuevas P,22,Pablo,Cuevas
Sock J,23,Jack,Sock
Zverev A,24,Alexander,Zverev
Simon G,25,Gilles,Simon
Tomic B,26,Bernard,Tomic
Ramos-Vinolas A,27,Albert,Ramos-Vinolas
Lopez F,28,Feliciano,Lopez
Troicki V,29,Viktor,Troicki
Carreno Busta P,30,Pablo,Carreno Busta
Querrey S,31,Sam,Querrey
Kohlschreiber P,32,Philipp,Kohlschreiber
Johnson S,33,Steve,Johnson
Muller G,34,Gilles,Muller
Klizan M,35,Martin,Klizan
Baghdatis M,36,Marcos,Baghdatis
Granollers M,37,Marcel,Granollers
Martin del Potro J,38,Juan,Martin del Potro
Mahut N,39,Nicolas,Mahut
Lorenzi P,40,Paolo,Lorenzi
Delbonis F,41,Federico,Delbonis
Verdasco F,42,Fernando,Verdasco
Sousa J,43,Joao,Sousa
Almagro N,44,Nicolas,Almagro
Edmund K,45,Kyle,Edmund
Kuznetsov A,46,Andrey,Kuznetsov
Paire B,47,Benoit,Paire
Coric B,48,Borna,Coric
Fognini F,49,Fabio,Fognini
Mayer F,50,Florian,Mayer
Zverev M,51,Mischa,Zverev
Schwartzman D,52,Diego,Schwartzman
Khachanov K,53,Karen,Khachanov
Robert S,54,Stephane,Robert
Vesely J,55,Jiri,Vesely
Bagnis F,56,Facundo,Bagnis
Youzhny M,57,Mikhail,Youzhny
Jaziri M,58,Malek,Jaziri
Haase R,59,Robin,Haase
Mannarino A,60,Adrian,Mannarino
Bellucci T,61,Thomaz,Bellucci
Dolgopolov A,62,Alexandr,Dolgopolov
Struff J,63,Jan-Lennard,Struff
Lu Y,64,Yen-Hsun,Lu
Monaco J,65,Juan,Monaco
Evans D,66,Daniel,Evans
Anderson K,67,Kevin,Anderson
Melzer G,68,Gerald,Melzer
Chardy J,69,Jeremy,Chardy
Garcia-Lopez G,70,Guillermo,Garcia-Lopez
Zeballos F,71,Federico,Zeballos
Brown D,72,Dustin,Brown
Mathieu P,73,Paul-Henri,Mathieu
Marchenko I,74,Illya,Marchenko
Pavlasek A,75,Adam,Pavlasek
Fritz T,76,Taylor,Fritz
Dzumhur D,77,Damir,Dzumhur
Herbert P,78,Pierre-Hugues,Herbert
Thompson J,79,Jordan,Thompson
Pella G,80,Guido,Pella
Elias G,81,Gastao,Elias
Monteiro T,82,Thiago,Monteiro
Olivo R,83,Renzo,Olivo
Millman J,84,John,Millman
Kravchuk K,85,Konstantin,Kravchuk
Darcis S,86,Steve,Darcis
Seppi A,87,Andreas,Seppi
Young D,88,Donald,Young
Kukushkin M,89,Mikhail,Kukushkin
Harrison R,90,Ryan,Harrison
Giraldo S,91,Santiago,Giraldo
Berankis R,92,Ricardas,Berankis
Lajovic D,93,Dusan,Lajovic
Basilashvili N,94,Nikoloz,Basilashvili
Berlocq C,95,Carlos,Berlocq
Sela D,96,Dudi,Sela
Albot R,97,Radu,Albot
Dutra Silva R,98,Rogerio,Dutra Silva
Medvedev D,99,Daniil,Medvedev
Nishioka Y,100,Yoshihito,Nishioka
